"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Jun 29 00:41:53 BDT 2023","Thu Jun 29 00:41:53 BDT 2023","1","Default Suite","emiCalculator","TestRunner.EMITestRunner","TestRunner.EMITestRunner","emiCalculation","emiCalculation",""
"skipped","Mon Jul 03 16:35:40 BDT 2023","Mon Jul 03 16:35:40 BDT 2023","1","Default Suite","emiCalculator","TestRunner.EMILoanTestRunner","TestRunner.EMILoanTestRunner","emptyFields","Clicking on Calculate button without giving any data",""
"broken","Mon Jul 03 15:57:50 BDT 2023","Mon Jul 03 15:57:50 BDT 2023","4","Default Suite","emiCalculator","TestRunner.EMILoanTestRunner","TestRunner.EMILoanTestRunner","emiCompareLoanClick","emiCompareLoanClick",""
"failed","Thu Jun 29 01:37:35 BDT 2023","Thu Jun 29 01:37:39 BDT 2023","3498","Default Suite","emiCalculator","TestRunner.EMITestRunner","TestRunner.EMITestRunner","emiCalculation","emiCalculation",""
"broken","Thu Jun 29 02:58:31 BDT 2023","Thu Jun 29 02:58:31 BDT 2023","7","Default Suite","emiCalculator","TestRunner.EMITestRunner","TestRunner.EMITestRunner","emiCalculatorReset","emiCalculatorReset",""
"broken","Mon Jul 03 16:35:40 BDT 2023","Mon Jul 03 16:35:40 BDT 2023","2","Default Suite","emiCalculator","TestRunner.EMILoanTestRunner","TestRunner.EMILoanTestRunner","doEMICalculation","doEMICalculation",""
"passed","Mon Jul 03 16:54:45 BDT 2023","Mon Jul 03 16:54:50 BDT 2023","4891","EMICalculator Automation","EMICalculator automation","TestRunner.EMITestRunner","TestRunner.EMITestRunner","emiCalculation","emiCalculation",""
"broken","Thu Jun 29 00:56:10 BDT 2023","Thu Jun 29 00:56:10 BDT 2023","13","Default Suite","emiCalculator","TestRunner.EMITestRunner","TestRunner.EMITestRunner","emiCalculation","emiCalculation",""
"passed","Mon Jul 03 16:54:12 BDT 2023","Mon Jul 03 16:54:17 BDT 2023","4344","EMICalculator Automation","EMICalculator automation","TestRunner.EMITestRunner","TestRunner.EMITestRunner","emiCalculation","emiCalculation",""
"failed","Thu Jun 29 01:37:30 BDT 2023","Thu Jun 29 01:37:35 BDT 2023","4935","Default Suite","emiCalculator","TestRunner.EMITestRunner","TestRunner.EMITestRunner","emiCalculation","emiCalculation",""
"passed","Mon Jul 03 16:54:57 BDT 2023","Mon Jul 03 16:55:01 BDT 2023","4108","EMICalculator Automation","EMICalculator automation","TestRunner.EMITestRunner","TestRunner.EMITestRunner","emiCalculation","emiCalculation",""
"broken","Mon Jul 03 15:46:27 BDT 2023","Mon Jul 03 15:46:27 BDT 2023","125","Default Suite","emiCalculator","TestRunner.EMILoanTestRunner","TestRunner.EMILoanTestRunner","doCompareLoan","doCompareLoan",""
"passed","Mon Jul 03 16:54:35 BDT 2023","Mon Jul 03 16:54:39 BDT 2023","3914","EMICalculator Automation","EMICalculator automation","TestRunner.EMITestRunner","TestRunner.EMITestRunner","emiCalculation","emiCalculation",""
"passed","Mon Jul 03 16:54:00 BDT 2023","Mon Jul 03 16:54:05 BDT 2023","4974","EMICalculator Automation","EMICalculator automation","TestRunner.EMITestRunner","TestRunner.EMITestRunner","emptyFields","Clicking on Calculate button without giving any data",""
"broken","Thu Jun 29 00:53:55 BDT 2023","Thu Jun 29 00:53:55 BDT 2023","2","Default Suite","emiCalculator","TestRunner.EMITestRunner","TestRunner.EMITestRunner","emiCalculatorClick","emiCalculatorClick",""
"skipped","Thu Jun 29 00:44:26 BDT 2023","Thu Jun 29 00:44:26 BDT 2023","1","Default Suite","emiCalculator","TestRunner.EMITestRunner","TestRunner.EMITestRunner","emiCalculation","emiCalculation",""
"passed","Mon Jul 03 16:54:25 BDT 2023","Mon Jul 03 16:54:29 BDT 2023","4082","EMICalculator Automation","EMICalculator automation","TestRunner.EMITestRunner","TestRunner.EMITestRunner","emiCalculation","emiCalculation",""
